Title,URL,Root Cause of Flakiness,Root Cause Category,Tests/Code Affected (to Reproduce),Testing Environment/Runner,Manifestation Category,How Fixed in Code,Fix Category,Link to Pull Request (if needed),,,,,,,,
Bug'1550595'-'Disable'failing'Visual'Viewport'API'web'platform'tests'on'desktop.'r=kats\n\nWe'disable'them'rather'than'marking'them'as'expected'to'fail'because'sometimes\nthe'problems'with'them'can'manifest'as'intermittent'failures.\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D30791\n\n--HG--\nextra':'moz-landing-system':'lando,https://github.com/MrAlex94/Waterfox/commit/79a6455e3f1beb542a36b37a258257ae555c85a3,Visual Viewport API web platform tests flaky on desktop,Layout Difference,https://github.com/MrAlex94/Waterfox/blob/79a6455e3f1beb542a36b37a258257ae555c85a3/testing/web-platform/meta/visual-viewport/viewport-read-size-causes-layout.html.ini; https://github.com/MrAlex94/Waterfox/blob/79a6455e3f1beb542a36b37a258257ae555c85a3/testing/web-platform/meta/visual-viewport/viewport-scrollbars-cause-resize.html.ini; https://github.com/MrAlex94/Waterfox/blob/79a6455e3f1beb542a36b37a258257ae555c85a3/testing/web-platform/meta/visual-viewport/viewport-unscaled-size.html.ini,web-platform-tests,Run on Specific Platform,disabled,Remove Test,,,,,,,,,
"Bug'1536762'-'part4':'disable'tests'on'Android'and'Windows.'r=heycam\n\nOn'Android,'sometime'we'can't'get'the'first'frame,'which'would'cause'intermittent'fail.'See'bug1546128.\n\nOn'Windows,'sometime'we'would'get'incorrect'text'color'rendering,'which'would'also'cause'intermittent'fail.'See'bug1546133.\n\nIt'seems'that'we'won't'get'these'two'bug'fixed'recently,'so'I'm'going'to'disable'them'on'these'two'platforms.\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D28359\n\n--HG--\nextra':'moz-landing-system':'lando",https://github.com/MrAlex94/Waterfox/commit/7d4ac29915dfce2e9e2c96d4358f29fe9c81b100,"On Android, sometime we can't get the first frame, which would cause intermittent fail. See bug1546128;On Windows, sometime we would get incorrect text color rendering, which would also cause intermittent fail. See bug1546133.",Platform Issue,see commit,web-platform-tests,Run on Specific Platform,disabled,Remove Test,,,,,,,,,
"Bug'1440537'-'Fix'a'cross-origin'navigation'test'to'navigate'reliably.'r=bzbarsky\n\nThis'subtest'(of'test_iframe_sandbox_navigation.html)'starts'intermittently\nfailing'with'my'first'patch'of'this'bug.'It'relied'on'the'pres-context'being\ncreated'when'sendMouseEvent'is'called'in'order'to'navigate'away'(we'only\nnavigate'away'by'clicking'a'link'if'there's'a'link'handler).\n\nsendMouseEvent'calls'getBoundingClientRect()'which'used'to'do'this.'It'no'longer\ndoes'though.\n\nI'could'make'sendMouseEvent'do'that'automatically'using'SpecialPowers'or'such,\nor'from'the'DOMWindowUtils'code,'but'I'think'I'd'prefer'not'to'do'that.'This'is\nthe'only'test'that'wasn't'trivially'fixable,'and'this'awkwardness'can'be'removed\nwhen'bug'1218456'is'fixed.\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D28910",https://github.com/MrAlex94/Waterfox/commit/bcd4ae91c988e0b18726c69d3a5578152b24c346,"Anchor clicks are only handled if we have a pres-context, and we may not have one yet by the time this runs, and getBoundingClientRect() won't construct it after bug 1440537. So we may need to wait a few frames to make this reliable.",Incorrect Resource Load Order,https://github.com/MrAlex94/Waterfox/blob/bcd4ae91c988e0b18726c69d3a5578152b24c346/dom/html/test/file_iframe_sandbox_d_if11.html,,Unspecified,added a wait,Fix Await Mechanism,,,,,,,,,
Bug'1547890'-'Extend'the'number'of'retries'for'waitForCondition'calls'so'the'tests'pass'on'TV'runs.'r=bytesized\n\nWhen'running'these'tests'with'--verify'(e.g.'TV)'the'tests'intermittently'fail'due'to'it'taking'longer'for'the'UI'condition'to'be'met.\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D29450\n\n--HG--\nextra':'moz-landing-system':'lando,https://github.com/MrAlex94/Waterfox/commit/175703fbe576e33435aa32585c4353476bbdc769,Badge test taking longer for the UI condition to be met,Resource Rendering,https://github.com/MrAlex94/Waterfox/blob/175703fbe576e33435aa32585c4353476bbdc769/toolkit/mozapps/update/tests/browser/browser_doorhanger_bc_downloadAutoFailures_bgWin.js; https://github.com/MrAlex94/Waterfox/blob/175703fbe576e33435aa32585c4353476bbdc769/toolkit/mozapps/update/tests/browser/browser_doorhanger_bc_downloadOptIn_bgWin.js,,Provide Steps,added waiting time and instead of throwing error added a check to fail the test,Fix Await Mechanism,,,,,,,,,
"Bug'1532539'[wpt'PR'15623]'-'[Animation'Worklet]'Fix'flaky'worklet-animation-with-fill-mode.https.html,'a=testonly\n\nAutomatic'update'from'web-platform-tests\n[Animation'Worklet]'Fix'flaky'worklet-animation-with-fill-mode.https.html\n\nUse'a'more'robust'method'for'waiting'on'receiving'local'times'on'main\nthread'when'test'is'running'with'threaded'compositing.\n\nPreviously'we'would'wait'for'one'async'frame'and'some'more'time'to'ensure\nwe'have'received'the'local'times'on'main'thread.'This'can'be'flaky.\nInstead'wait'until'local'time'is'no'longer'null'which'means'worklet'has\nproduced'at'least'one'frame'and'that'frame'has'been'synced'with'main.\n\nTo'this'end'WorkletAnimation'now'exposes'its'effect'(similar'to'regular\nanimations)'and'we'use'that'to'access'the'effect's'local'time.\n\nBug:'915352\nChange-Id:'I05ab560d90a55ff68e048b2c8ed19e87435dffeb\nReviewed-on:'https://chromium-review.googlesource.com/c/1496478\nCommit-Queue:'Majid'Valipour'<majidvp@chromium.org>\nReviewed-by:'Yi'Gu'<yigu@chromium.org>\nCr-Commit-Position:'refs/heads/master@{#636970}\n\n--\n\nwpt-commits:'f8602d068887aebd4d962b77bcce88661ac2c245\nwpt-pr:'15623",https://github.com/MrAlex94/Waterfox/commit/6a29f7a20dc7b1a197a9fe84b20700e2d35838c4,Previously we would wait for one async frame and some more time to ensure we have received the local times on main thread. This can be flaky. ,Animation Timing Issue,https://github.com/MrAlex94/Waterfox/blob/6a29f7a20dc7b1a197a9fe84b20700e2d35838c4/testing/web-platform/tests/animation-worklet/worklet-animation-with-fill-mode.https.html,web-platform-tests,Unspecified,Instead wait until local time is no longer null which means worklet has produced at least one frame and that frame has been synced with main.,Fix Await Mechanism,,,,,,,,,
"Bug'1532539'[wpt'PR'15623]'-'[Animation'Worklet]'Fix'flaky'worklet-animation-with-fill-mode.https.html,'a=testonly\n\nAutomatic'update'from'web-platform-tests\n[Animation'Worklet]'Fix'flaky'worklet-animation-with-fill-mode.https.html\n\nUse'a'more'robust'method'for'waiting'on'receiving'local'times'on'main\nthread'when'test'is'running'with'threaded'compositing.\n\nPreviously'we'would'wait'for'one'async'frame'and'some'more'time'to'ensure\nwe'have'received'the'local'times'on'main'thread.'This'can'be'flaky.\nInstead'wait'until'local'time'is'no'longer'null'which'means'worklet'has\nproduced'at'least'one'frame'and'that'frame'has'been'synced'with'main.\n\nTo'this'end'WorkletAnimation'now'exposes'its'effect'(similar'to'regular\nanimations)'and'we'use'that'to'access'the'effect's'local'time.\n\nBug:'915352\nChange-Id:'I05ab560d90a55ff68e048b2c8ed19e87435dffeb\nReviewed-on:'https://chromium-review.googlesource.com/c/1496478\nCommit-Queue:'Majid'Valipour'<majidvp@chromium.org>\nReviewed-by:'Yi'Gu'<yigu@chromium.org>\nCr-Commit-Position:'refs/heads/master@{#636970}\n\n--\n\nwpt-commits:'f8602d068887aebd4d962b77bcce88661ac2c245\nwpt-pr:'15623",https://github.com/MrAlex94/Waterfox/commit/801751a046306ebb3f5cc3a0ba39a0178ecd0810,Previously we would wait for one async frame and some more time to ensure we have received the local times on main thread. This can be flaky. ,Animation Timing Issue,https://github.com/MrAlex94/Waterfox/blob/6a29f7a20dc7b1a197a9fe84b20700e2d35838c4/testing/web-platform/tests/animation-worklet/worklet-animation-with-fill-mode.https.html,web-platform-tests,Unspecified,Instead wait until local time is no longer null which means worklet has produced at least one frame and that frame has been synced with main.,Fix Await Mechanism,,,,,,,,,
"Bug'1534496'[wpt'PR'15747]'-'Fixed'flaky'playback-rate'test.,'a=testonly\n\nAutomatic'update'from'web-platform-tests\nFixed'flaky'playback-rate'test.\n\nRoot'cause'for'the'flakiness:\n''1.Due'to'crbug.com/937382,'composited'worklet'animation'current'time'is'not'identical'to'the\n''''current'time'passed'to'the'animator'instance'in'the'worklet'scope'(which'is'passed'through'to\n''''local'time'in'this'test).\n''2.Not'waiting'enough'for'the'compositing'thread'to'update'the'styles.\nThe'fix:\n''1.Changed'the'test'to'compare'against'reference'worklet'animation's'effect'local'time'that'has\n''''default'playback'rate.\n''2.Explicitly'wait'for'the'style'updates'before'comparing'to'the'expected'results.\n\nBug:'915352\nChange-Id:'I35cb3f89048568bc830aff8a6473f6d2aef5aaeb\nReviewed-on:'https://chromium-review.googlesource.com/c/chromium/src/+/1497789\nCommit-Queue:'Olga'Gerchikov'<gerchiko@microsoft.com>\nReviewed-by:'Majid'Valipour'<majidvp@chromium.org>\nCr-Commit-Position:'refs/heads/master@{#638721}\n\n--\n\nwpt-commits:'02aa554ae40ec5eef25f945420a4cb7368054d2d\nwpt-pr:'15747",https://github.com/MrAlex94/Waterfox/commit/d3cb540133b5718c470d082d6ff3258f168e2b4f,Playback rate test flaky due to incorrect animation API waiting,Animation Timing Issue,https://github.com/MrAlex94/Waterfox/blob/d3cb540133b5718c470d082d6ff3258f168e2b4f/testing/web-platform/tests/animation-worklet/playback-rate.https.html,web-platform-tests,Unspecified,Changed waiting APIs and added awaits,Fix Await Mechanism,,,,,,,,,
"Bug'1534487'[wpt'PR'15734]'-'Revert''[Animation'Worklet]'Remove'unnecessary'force'composition','a=testonly\n\nAutomatic'update'from'web-platform-tests\nRevert''[Animation'Worklet]'Remove'unnecessary'force'composition'\n\nThis'reverts'commit'b9fdefc5712d3ec3b2482ad9c2af1c2e6fa6b25a.\n\nReason'for'revert:'Removing'compositing'caused'flaky'on'Mac\n\nOriginal'change's'description:\n>'[Animation'Worklet]'Remove'unnecessary'force'composition\n>\n>'We'used'to'have'will-change:'transform'in'test'reference'but'they'are\n>'no'longer'needed.\n>\n>'Change-Id:'Ib6870863760e32de201a0560fa59f43634c72da8\n>'Reviewed-on:'https://chromium-review.googlesource.com/c/chromium/src/+/1504711\n>'Commit-Queue:'Yi'Gu'<yigu@chromium.org>\n>'Reviewed-by:'Xida'Chen'<xidachen@chromium.org>\n>'Cr-Commit-Position:'refs/heads/master@{#638107}\n\nTBR=xidachen@chromium.org,yigu@chromium.org\n\n#'Not'skipping'CQ'checks'because'original'CL'landed'>'1'day'ago.\n\nChange-Id:'I1350b6c5e53e35fd0fb5de035e33c9f44528a4c9\nReviewed-on:'https://chromium-review.googlesource.com/c/chromium/src/+/1510077\nReviewed-by:'Yi'Gu'<yigu@chromium.org>\nCommit-Queue:'Yi'Gu'<yigu@chromium.org>\nCr-Commit-Position:'refs/heads/master@{#638867}\n\n--\n\nwpt-commits:'4371a004caa7771794a31109bc019e001799f8e2\nwpt-pr:'15734",https://github.com/MrAlex94/Waterfox/commit/da46e66a2428a4088b506df84ddb40bf7aba4462, force composition value in CSS transform on Mac,Platform Issue,see commit,web-platform-tests,Unspecified,Changed transform tag in CSS,Refactor Logic Implementation,,,,,,,,,
"Bug'1532216'[wpt'PR'15607]'-'[animation-worklet]'Deflake'tests'running'with'threaded'compositing,'a=testonly\n\nAutomatic'update'from'web-platform-tests\n[animation-worklet]'Deflake'tests'running'with'threaded'compositing\n\nDon't'assume'a'certain'number'of'frames'for'receiving'style'updates\nrather'poll'everyframe'until'change'is'noticed.\n\nBug:'915352\nChange-Id:'I92c78bc94c82de561f4867a596c449eb6dd39603\nReviewed-on:'https://chromium-review.googlesource.com/c/1495227\nCommit-Queue:'Majid'Valipour'<majidvp@chromium.org>\nReviewed-by:'Yi'Gu'<yigu@chromium.org>\nCr-Commit-Position:'refs/heads/master@{#636841}\n\n--\n\nwpt-commits:'c00e66cde6cb2033da568f4dbaaddbe30a128959\nwpt-pr:'15607",https://github.com/MrAlex94/Waterfox/commit/ab8e14bb7ad69fa09a2b228372d7dc894b57722d,Animaton frame test waiting method flaky,Animation Timing Issue,see commit,web-platform-tests,Unspecified,Changed API to wait for animation frame meeting style condition instead of arbitrary number of frames,Fix Await Mechanism,,,,,,,,,
Bug'1532205'-'Intermittent'TEST-UNEXPECTED-TIMEOUT'in'Event-dispatch-on-disabled-elements.html'r=birtles\n\ntry'to'extend'the'animation'time.'I'tested'this'locally'on'repeat'50'times.\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D23498\n\n--HG--\nextra':'moz-landing-system':'lando,https://github.com/MrAlex94/Waterfox/commit/a37ef3224e23de298d4bf17e1760c11186df3072,Animation event animationiteration tests timeout without firing event,Animation Timing Issue,https://github.com/MrAlex94/Waterfox/blob/a37ef3224e23de298d4bf17e1760c11186df3072/testing/web-platform/tests/dom/events/Event-dispatch-on-disabled-elements.html,web-platform-tests,Rerun Multiple Times,Changed animation APIs to seek manually instead of relying on event types,Use Workaround,,,,,,,,,
"Bug'1519226:'browser_toolbarButtonKeyPress.js:'Wait'for'the'bookmarked'status'to'finish'updating'before'pressing'the'Bookmark'this'page'button.'r=Gijs\n\nThe'status'regarding'whether'a'page'is'bookmarked'or'not'is'updated'async.\nWhile'the'update'is'pending,'the'Bookmark'this'page'button'ignores'activation.\nThus,'the'test'must'wait'for'the'update'to'be'finished'before'trying'to'press'the'button.\nThis'fixes'intermittent'timeouts'in'this'test.\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D20978\n\n--HG--\nextra':'moz-landing-system':'lando",https://github.com/MrAlex94/Waterfox/commit/57bb4f7bf4220376e8931f354a3ee556b7b5fd4f,Bookmark button test not waiting correctly ,Resource Rendering,https://github.com/MrAlex94/Waterfox/blob/57bb4f7bf4220376e8931f354a3ee556b7b5fd4f/browser/base/content/test/keyboard/browser_toolbarButtonKeyPress.js,web-platform-tests,Unspecified,Add async waiting for button status,Fix Await Mechanism,,,,,,,,,
"Bug'1526728'[wpt'PR'15279]'-'[animation-worklet]'Basic'pause'implementation'(reland),'a=testonly\n\nAutomatic'update'from'web-platform-tests\n[animation-worklet]'Basic'pause'implementation'(reland)\n\nPausing'worklet'animation'now'holds'the'time.'This'works'as'expected'for'main\nthread'animations.'Implementing'this'for'composited'worklet'animations'will'be\ndone'in'a'follow'up'patch.\n\nMajor'changes:\n'-'Add'and'expose'pause()'method'pausing'the'animation.\n'-'Introduce'hold_time'that'is'used'when'animation'is'paused.\n'-'Rework'how'current'time'is'computed,'it'is'now'closer'to\n'''regular'animations'i.e.,'we'either'compute'it'based'on''start'time'and\n'''timeline.currentTime''or'use''hold'time'.\n'-'Instead'of'setting'start'time'we'now'set'the'current'time\n'''which'then'works'backward'to'compute'either'the'start'time'or'the'hold'time\n'''based'on'the'animation'state.\n'-'When'transitioning'animation'play'state,'we'now'always'set\n'''the'current'time.'Previously'this'was'adhoc'and'inconsistent.\n'-'Introduce'has_started_'to'differentiate'when'playing'an\n'''animation'for'the'first'time'vs'playing'it'from'pause.\n'-'Update'playback_rate'related'calculation'to'use'new'logic.\n\nRelanding:'Original'CL'was'reverted'here'[1].'Took'the'following'steps'to\naddress'this:\n\n''-'Address'flakiness'in'unit'test'by'using'more'accurate'error\n''''value'matching'other'tests.\n''-'Fix'flakiness'in'layout'test'(worklet-animation-pause.https.html)\n''''by'using'startTime'and'waiting'for'time'to'actually'advance'working'around\n''''pre-existing'animation'clock'issue'[2].'Also'got'rid'of'an'invalid'state\n''''transition'from'pause->idle.\n\n[1]'https://chromium-review.googlesource.com/c/chromium/src/+/1434815\n[2]'http://crbug.com/785940\n\nTEST:\n\n''-'wpt/animation-worklet/worklet-animation-pause.https.html:'js'test'for'basic\n''''current'time'calculations\n''-'wpt/animation-worklet/worklet-animation-pause-immediately.https.html:\n''''reftest'for'basic'pause\n''-'wpt/animation-worklet/worklet-animation-pause-result.https.html:'reftest'for\n''''pause/resume.\n''-'WorkletAnimationTest.PausePlay:'unit'test'for'basic'state\n''''transition'and'time'calc\n\nBug:'821910,\nChange-Id:'I11fd2960443081be81055904d6d56a2abc3282f5\nReviewed-on:'https://chromium-review.googlesource.com/c/1456640\nReviewed-by:'Majid'Valipour'<majidvp@chromium.org>\nReviewed-by:'Yi'Gu'<yigu@chromium.org>\nCommit-Queue:'Majid'Valipour'<majidvp@chromium.org>\nCr-Commit-Position:'refs/heads/master@{#630548}\n\n--\n\nwpt-commits:'345300fad3945a5f1441fb2b2001109ca48f36e8\nwpt-pr:'15279",https://github.com/MrAlex94/Waterfox/commit/2d8023aa3d029bcf023de3c325381179540800b8,Animation pause test flaky due to timer issue,Animation Timing Issue,https://github.com/MrAlex94/Waterfox/blob/2d8023aa3d029bcf023de3c325381179540800b8/testing/web-platform/tests/animation-worklet/worklet-animation-pause.https.html,web-platform-tests,Unspecified,Add workaround to clock issue,Use Workaround,,,,,,,,,
Bug'1528044'-'Fix'flaky'test'browser_multiselect_tabs_move_to_new_window_contextmenu.js.'r=jaws\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D20018\n\n--HG--\nextra':'moz-landing-system':'lando,https://github.com/MrAlex94/Waterfox/commit/149483e887541ab4cbd7ead56fb1bf768ae82aa4,Tab moves to new window flaky due to EndSwapDocShells not being dispatched for lazy tabs,Incorrect Test Runner Interaction,https://github.com/MrAlex94/Waterfox/blob/149483e887541ab4cbd7ead56fb1bf768ae82aa4/browser/base/content/test/tabs/browser_multiselect_tabs_move_to_new_window_contextmenu.js,web-platform-tests,Unspecified,Add proper waiting method,Fix Await Mechanism,,,,,,,,,
Bug'1524223'-'Fix'flaky'test'browser_multiselect_tabs_move_to_new_window_contextmenu.js.'r=jaws\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D18820\n\n--HG--\nextra':'moz-landing-system':'lando,https://github.com/MrAlex94/Waterfox/commit/3a0fff40b3397e0064ce123c08cb44b3f7b4e2e1,Tab moves to new window flaky due to EndSwapDocShells not being dispatched for lazy tabs,Incorrect Test Runner Interaction,https://github.com/MrAlex94/Waterfox/blob/3a0fff40b3397e0064ce123c08cb44b3f7b4e2e1/browser/base/content/test/tabs/browser_multiselect_tabs_move_to_new_window_contextmenu.js,web-platform-tests,Unspecified,Add TabClose listener to handle lazy tabs,Refactor Logic Implementation,,,,,,,,,
"Bug'1523625'-'Wait'until'the'animation'is'on'the'compositor'before'testing'if'it'is;'r=hiro\n\nThis'test'was'failing'intermittently'on'GeckoView'e10s.'The\nwaitForAnimationReadyToRestyle'helper'works'around'certain'cases'where,'due'to\nvsync,'the'animation'ends'up'starting'at'exactly'the'same'frame'time'as'when'it\nwas'created'meaning'that'restyling'may'not'get'triggered'and'hence'we'won't'have\na'chance'to'send'it'to'the'compositor.\n\nIt's'not'clear'why'this'happens'more'frequently'on'GeckoView'e10s'but'this'seems\nto'fix'the'failures'anyway.\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D18043\n\n--HG--\nextra':'moz-landing-system':'lando",https://github.com/MrAlex94/Waterfox/commit/9e3969c99aaa7c77b6c5889fd0a2bf79569afc79,Animation flaky due to vsync making start time same as create time and not tirggering restyle update,Animation Timing Issue,https://github.com/MrAlex94/Waterfox/blob/9e3969c99aaa7c77b6c5889fd0a2bf79569afc79/dom/base/test/file_domwindowutils_animation.html,web-platform-tests,Run on Specific Platform,Use waitForAnimationReadyToRestyle helper to wait for proper update,Fix Await Mechanism,,,,,,,,,
"Bug'1504929'-'Start'animations'once'after'a'MozReftestInvalidate'event'is'received.'r=sotaro\n\nWe'need'the'same'workaround'for\nhttps://bugzilla.mozilla.org/show_bug.cgi?id=1489327'.\n\nAnd'unfortunately'we'have'to'disable'animate-backface-hidden.html'on'MacOSX'opt\nbuilds'for'WebRender'because'the'test'fails'intermittently,'we'will'enable'it\nin'bug'1506758.\n\nDepends'on'D11601\n\nDifferential'Revision:'https://phabricator.services.mozilla.com/D11726\n\n--HG--\nextra':'moz-landing-system':'lando",https://github.com/MrAlex94/Waterfox/commit/23793e3a2172787eca440889a8c4ec3cc6069862,Animation test flaky on MacOSX opt builds for WebRender,Platform Issue,https://github.com/MrAlex94/Waterfox/blob/23793e3a2172787eca440889a8c4ec3cc6069862/layout/reftests/transform-3d/animate-backface-hidden.html,web-platform-tests,Run on Specific Platform,Add delay for animations,Add/Increase Delay,,,,,,,,,
"Bug'1453895'-'Avoid'reftest'startup'hang'waiting'for'focus;'r=jmaher\n\nIntermittently,'at'least'on'Windows,'reftest.jsm'finds'that'the'reftest.xul\nwindow'is'not'focused'on'startup;'focus'seems'to'be'on'the'dummy'about:blank\nwindow.'This'patch'tries'to'detect'that'condition'and'correct'it'by'bringing\nreftest.xul'(g.containingWindow)'into'focus'before'specifically'focusing\nthe'browser'element'(g.browser).",https://github.com/MrAlex94/Waterfox/commit/7fdf08e2ab80f20fedf48e812ef9efd84f045d80,Flaky focus between test window and about:blank window causes reftest to fail on Windows,Platform Issue,https://github.com/MrAlex94/Waterfox/blob/7fdf08e2ab80f20fedf48e812ef9efd84f045d80/layout/tools/reftest/reftest.jsm,web-platform-tests,Run on Specific Platform,Add code to explicitly focus on reftest window if not focused,Refactor Logic Implementation,,,,,,,,,
"Bug'1368603'-'Fix'intermittent'scrollbar'drag'test'failure'on'Linux.'r=botond\n\nOn'Linux,'when'synthesizing'mousemove'events'interleaved'with'button\npress/release'events,'the'caller'is'responsible'for'waiting'for'the\nmousemove'events'be'dispatched'before'attempting'to'synthesize'the\npress/release'buttons,'otherwise'the'events'can'be'delivered'by'the'OS\nout'of'order.'This'updates'a'few'tests'to'ensure'this'is'done'correctly.\n\nMozReview-Commit-ID:'42HkqTCWToP\n\n--HG--\nextra':'rebase_source':'57fbc84bcfbed345d8f6d90aaadb3399e691894e",https://github.com/MrAlex94/Waterfox/commit/5090ab59885b0b290d29ea4e5848337826ff3a02,Timing issue with mouse click event,Incorrect Test Runner Interaction,https://github.com/MrAlex94/Waterfox/blob/701afa46f782a0d671fda33406409096258bb27c/browser/components/extensions/test/browser/browser_ext_user_events.js,web-platform-tests,Run on Specific Platform,Change click into polling mechanism for clicks,Use Workaround,,,,,,,,,
"Bug'1379072'-'Intermittent'failure'of'browser/components/sessionstore/test/browser_354894_perwindowpb.js,'r=michal\n\nWait'for'the'tabs'to'finish'when'loading'test'tabs.",https://github.com/MrAlex94/Waterfox/commit/7f1cc2b10b9e5f637895274eacb19b31dd5645a1,loading test tabs without waiting,Incorrect Resource Load Order,https://github.com/MrAlex94/Waterfox/blob/7f1cc2b10b9e5f637895274eacb19b31dd5645a1/browser/components/sessionstore/test/browser_354894_perwindowpb.js,,Unspecified,Added await and promise,Fix Await Mechanism,,,,,,,,,
Bug'1447259:'Change'the'tested'animation'in'browser_animation_summary-graph_computed-timing-path_different-timescale.js'test'since'the'animation'can'intermittently'already'be'finished'during'selectNodeAndWaitForAnimations.'r=gl,https://github.com/MrAlex94/Waterfox/commit/361d95ecbf5c0f00f59ca1614088db1947abc565,the animation can intermittently already be finished during selectNodeAndWaitForAnimations,Animation Timing Issue,https://github.com/MrAlex94/Waterfox/blob/361d95ecbf5c0f00f59ca1614088db1947abc565/devtools/client/inspector/animation/test/browser_animation_summary-graph_computed-timing-path_different-timescale.js,,Unspecified,Changed tested animation,Use Workaround,,,,,,,,,
"Bug'1441808'[wpt'PR'9712]'-'[css-ui]'Use''Ahem''instead'of''ahem''in'tests,'a=testonly\n\nAutomatic'update'from'web-platform-tests[css-ui]'Use''Ahem''instead'of''ahem''in'tests\n\n'ahem''is'causing'flakiness'on'Windows,'so'this'patch\njust'replaces''ahem''by''Ahem''on'css-ui'WPT'tests.\n\nBUG=724392,796733\n\nChange-Id:'I956e939790319ec956164f34af8c72f109c528ef\nReviewed-on:'https://chromium-review.googlesource.com/940133\nReviewed-by:'Morten'Stenshorne'<mstensho@chromium.org>\nCommit-Queue:'Manuel'Rego'Casasnovas'<rego@igalia.com>\nCr-Commit-Position:'refs/heads/master@{#539797}\n\nwpt-commits:'98f6f9bde502771ce9939d24f27ca823351adb33\nwpt-pr:'9712\nwpt-commits:'98f6f9bde502771ce9939d24f27ca823351adb33\nwpt-pr:'9712",https://github.com/MrAlex94/Waterfox/commit/7da5f58a52c41423365cbb41bde513848a5e6b48,"font flaky, ""ahem"" is causing flakiness on Windows",Network Resource Loading,see commits,web-platform-tests,Run on Specific Platform,Changed to Ahem,Use Workaround,,,,,,,,,
"Bug'1441786'[wpt'PR'9711]'-'[css-multicol]'Use''Ahem''instead'of''ahem''in'tests,'a=testonly\n\nAutomatic'update'from'web-platform-tests[css-multicol]'Use''Ahem''instead'of''ahem''in'tests\n\n'ahem''is'causing'flakiness'on'Windows,'so'this'patch\njust'replaces''ahem''by''Ahem''on'WPT'tests.\n\nBUG=724392,794136\n\nChange-Id:'I55ce2ee7ed36b2708da571f52256716e97a072cb\nReviewed-on:'https://chromium-review.googlesource.com/940921\nReviewed-by:'Morten'Stenshorne'<mstensho@chromium.org>\nCommit-Queue:'Manuel'Rego'Casasnovas'<rego@igalia.com>\nCr-Commit-Position:'refs/heads/master@{#539780}\n\nwpt-commits:'a5e5a3d683d787be4a608d8bcd385f902c6ef2c2\nwpt-pr:'9711\nwpt-commits:'a5e5a3d683d787be4a608d8bcd385f902c6ef2c2\nwpt-pr:'9711",https://github.com/MrAlex94/Waterfox/commit/185166e6e82bca95445881af13188a295d9df2ce,"font flaky, ""ahem"" is causing flakiness on Windows",Network Resource Loading,see commits,web-platform-tests,Run on Specific Platform,Changed to Ahem,Use Workaround,,,,,,,,,
"Bug'1441760'[wpt'PR'9707]'-'[css-text]'Use''Ahem''instead'of''ahem''for'fonts'in'tests,'a=testonly\n\nAutomatic'update'from'web-platform-tests[css-text]'Use''Ahem''instead'of''ahem''for'fonts'in'tests\n\nUsing'the'lowercase'version'causes'flakiness'on'Windows\n(see'crbug.com/724392).\n\nBUG=817030\n\nChange-Id:'Ic4bdea7d40f0c2e96d6669430b3cce7a296e8d55\nReviewed-on:'https://chromium-review.googlesource.com/940123\nReviewed-by:'Koji'Ishii'<kojii@chromium.org>\nCommit-Queue:'Manuel'Rego'Casasnovas'<rego@igalia.com>\nCr-Commit-Position:'refs/heads/master@{#539748}\n\nwpt-commits:'cc52c7e80c940a475adc28142285082f2c973ed6\nwpt-pr:'9707\nwpt-commits:'cc52c7e80c940a475adc28142285082f2c973ed6\nwpt-pr:'9707",https://github.com/MrAlex94/Waterfox/commit/a7af4d1de13660f154bed4d6423633e0b75583d8,"font flaky, ""ahem"" is causing flakiness on Windows",Network Resource Loading,see commits,web-platform-tests,Run on Specific Platform,Changed to Ahem,Use Workaround,,,,,,,,,
